customer_state,num_pedidos,ingreso_total,review_promedio,poblacion,pedidos_por_100k_hab
SP,40501,5770266.19,4.246616840066546,46649132,86.82047931781453
RJ,12350,2055690.45,3.964949635574482,17463349,70.71953953391186
DF,2080,346146.17,4.132367149758454,3094325,67.21982984980569
MG,11354,1819277.61,4.192645104120514,21411923,53.02653105935417
ES,1995,317682.65,4.080243778567801,4108508,48.55777328412163
SC,3546,595208.4,4.132992327365729,7338473,48.320679247576436
RS,5345,861802.4,4.186033414679932,11466630,46.61352114788739
PR,4923,781919.55,4.240408163265307,11597484,42.44886218424617
GO,1957,334294.22,4.103802672147996,7206589,27.155704314482204
MT,886,181441.72,4.146757679180888,3567234,24.83717076031457
MS,701,134421.54,4.1587982832618025,2839188,24.69015789021368
BA,3256,591270.6,3.930628677609167,14985284,21.7279832667836
TO,274,60007.37,4.153846153846154,1607363,17.04655388981829
PE,1593,309074.59,4.082963901203294,9674793,16.46546856351345
PI,476,105272.17,3.9936305732484074,3289290,14.471208072258754
SE,335,70289.13,3.907185628742515,2338474,14.325581554466716
CE,1279,266463.97,3.9442262372348784,9240580,13.84112252694095
RO,243,56975.7,4.1652892561983474,1815278,13.386379386518207
RN,474,100728.3,4.150743099787686,3560903,13.311230325566298
PB,517,137834.65,4.076171875,4059905,12.734288117579107
AL,397,94195.79,3.8578680203045685,3365351,11.79668926064473
PA,946,212027.55,3.909967845659164,8777124,10.7780179475646
MA,717,147807.29,3.832865168539326,7153262,10.023399114977195
AC,80,19586.25,4.0875,906876,8.821492684777192
AP,67,16141.81,4.242424242424242,877613,7.6343445231554234
RR,41,9039.52,3.902439024390244,652713,6.281474399927686
AM,145,27596.18,4.243055555555555,4269995,3.395788519658688
